short,football_data,managers,transfermarkt,bbc_short,bbc_long,jalapic,colour1,colour2,colour3
ROTH,Rotherham,Rotherham United,Rotherham United,Rotherham,Rotherham United,Rotherham United,#ee3b33,#FFFFFF,#FFFFFF
SCU,Scunthorpe,Scunthorpe United,Scunthorpe United,Scunthorpe,Scunthorpe United,Scunthorpe United,#8b2842,#487bad,#FFFFFF
SHEU,Sheffield United,Sheffield United,Sheffield United,Sheff Utd,Sheffield United,Sheffield United,#ed1c24,#000000,#FFFFFF
SHEW,Sheffield Weds,Sheffield Wednesday,Sheffield Wednesday,Sheff Wed,Sheffield Wednesday,Sheffield Wednesday,#005dab,#FFFFFF,#FFFFFF
SOU,Southampton,Southampton,Southampton FC,Southampton,Southampton,Southampton,#ED1A3B,#211E1F,#FFC20E
STO,Stoke,Stoke City,Stoke City,Stoke,Stoke City,Stoke City,#E03A3E,#1B449C,#FFFFFF
SUN,Sunderland,Sunderland,Sunderland AFC,Sunderland,Sunderland,Sunderland,#EB172B,#A68A26,#211E1E
SWA,Swansea,Swansea,Swansea City,Swansea,Swansea City,Swansea City,#000000,#FFFFFF,#FFFFFF
SWI,Swindon,Swindon Town,Swindon Town,Swindon,Swindon Town,Swindon Town,#ee3424,#FFFFFF,#ad8605
TOT,Tottenham,Tottenham Hotspur,Tottenham Hotspur,Tottenham,Tottenham Hotspur,Tottenham Hotspur,#001C58,#FFFFFF,#FFFFFF
WAL,Walsall,Walsall,Walsall FC,Walsall,Walsall,Walsall,#ee1939,#221e1f,#a49460
WAT,Watford,Watford,Watford FC,Watford,Watford,Watford,#fff200,#000000,#ed1c24
WBA,West Brom,West Bromwich Albion,West Bromwich Albion,West Brom,West Bromwich Albion,West Bromwich Albion,#091453,#FFFFFF,#FFFFFF
WHU,West Ham,West Ham United,West Ham United,West Ham,West Ham United,West Ham United,#60223B,#F7C240,#5299C6
WIG,Wigan,Wigan Athletic,Wigan Athletic,Wigan,Wigan Athletic,Wigan Athletic,#1d59af,#FFFFFF,#9e8b4f
WOL,Wolves,Wolves,Wolverhampton Wanderers,Wolves,Wolverhampton Wanderers,Wolverhampton Wanderers,#febd10,#231f20,#FFFFFF
YEO,Yeovil,Yeovil Town,Yeovil Town,Yeovil,Yeovil Town,Yeovil,#4dac26,#ffff00,#FFFFFF
MKD,Milton Keynes Dons,,Milton Keynes Dons,MK Dons,MK Dons,Milton Keynes Dons,#FFFFFF,#ec2027,#000000
,,,,,,Bristol Rovers,,,
,,,,,,Bury,,,
,,,,,,Carlisle United,,,
,,,,,,Cheltenham,,,
,,,,,,Dagenham and Redbridge,,,
,,,,,,Exeter City,,,
,,,,,,Hartlepool United,,,
,,,,,,Hereford United,,,
,,,,,,Northampton Town,,,
,,,,,,Plymouth Argyle,,,
,,,,,,Portsmouth,,,
,,,,,,Shrewsbury Town,,,
,,,,,,Southend United,,,
,,,,,,Stevenage Borough,,,
,,,,,,Stockport County,,,
,,,,,,Tranmere Rovers,,,
,,,,,,Wycombe Wanderers,,,
